bottle;46;0.023973316656243485%
every;46;0.023973316656243485%
ran;46;0.023973316656243485%
neck;45;0.02345215759849906%
sure;45;0.02345215759849906%
sitting;45;0.02345215759849906%
drink;45;0.02345215759849906%
joke;45;0.02345215759849906%
days;45;0.02345215759849906%
inside;45;0.02345215759849906%
ask;45;0.02345215759849906%
General;45;0.02345215759849906%
business;44;0.022930998540754637%
brown;44;0.022930998540754637%
At;44;0.022930998540754637%
Of;44;0.022930998540754637%
quickly;44;0.022930998540754637%
suddenly;44;0.022930998540754637%
guard;44;0.022930998540754637%
everything;44;0.022930998540754637%
once;44;0.022930998540754637%
town;44;0.022930998540754637%
bed;44;0.022930998540754637%
Gaylord;44;0.022930998540754637%
try;43;0.022409839483010216%
priest;43;0.022409839483010216%
running;43;0.022409839483010216%
else;43;0.022409839483010216%
yet;43;0.022409839483010216%
corporal;43;0.022409839483010216%
read;43;0.022409839483010216%
taken;43;0.022409839483010216%
Just;43;0.022409839483010216%
cavalry;43;0.022409839483010216%
wilt;43;0.022409839483010216%
bowl;43;0.022409839483010216%
ugly;43;0.022409839483010216%
drunk;42;0.021888680425265792%
room;42;0.021888680425265792%
women;42;0.021888680425265792%
Did;42;0.021888680425265792%
de;42;0.021888680425265792%
death;42;0.021888680425265792%
fascist;42;0.021888680425265792%
leather;42;0.021888680425265792%
Have;42;0.021888680425265792%
move;42;0.021888680425265792%
d;41;0.021367521367521368%
Lieutenant;41;0.021367521367521368%
hit;41;0.021367521367521368%
fight;41;0.021367521367521368%
run;41;0.021367521367521368%
yourself;41;0.021367521367521368%
truly;41;0.021367521367521368%
nodded;41;0.021367521367521368%
flat;41;0.021367521367521368%
sound;40;0.020846362309776944%
Faustino;40;0.020846362309776944%
Comrade;40;0.020846362309776944%
shirt;40;0.020846362309776944%
lips;40;0.020846362309776944%
happen;40;0.020846362309776944%
m;39;0.02032520325203252%
My;39;0.02032520325203252%
rare;39;0.02032520325203252%
leaned;39;0.02032520325203252%
importance;39;0.02032520325203252%
wife;39;0.02032520325203252%
carefully;38;0.019804044194288096%
wanted;38;0.019804044194288096%
thus;38;0.019804044194288096%
pushed;38;0.019804044194288096%
saying;38;0.019804044194288096%
luck;38;0.019804044194288096%
mind;38;0.019804044194288096%
carry;38;0.019804044194288096%
speaking;38;0.019804044194288096%
tank;38;0.019804044194288096%
goes;38;0.019804044194288096%
cigarette;37;0.019282885136543672%
black;37;0.019282885136543672%
picked;37;0.019282885136543672%
necessary;37;0.019282885136543672%
hell;37;0.019282885136543672%
grenades;37;0.019282885136543672%
dropped;37;0.019282885136543672%
pointed;37;0.019282885136543672%
seemed;37;0.019282885136543672%
Rafael;37;0.019282885136543672%
except;37;0.019282885136543672%
covered;37;0.019282885136543672%
red;37;0.019282885136543672%
body;37;0.019282885136543672%
already;37;0.019282885136543672%
truck;37;0.019282885136543672%
serious;36;0.01876172607879925%
knows;36;0.01876172607879925%
softly;36;0.01876172607879925%
best;36;0.01876172607879925%
After;36;0.01876172607879925%
worry;36;0.01876172607879925%
moving;36;0.01876172607879925%
glad;36;0.01876172607879925%
find;36;0.01876172607879925%
father;36;0.01876172607879925%
shoulders;36;0.01876172607879925%
walk;35;0.018240567021054827%
warm;35;0.018240567021054827%
having;35;0.018240567021054827%
longer;35;0.018240567021054827%
